name,category,description,github_link,date_published,category_name,link_to_screenshot,link_to_source
Xylophone App,Mobile App (Flutter),A Simple Xylophone App made using Flutter. A part of the flutter course by AppBrewery.,https://github.com/tazwar70/xylophone-flutter,03-06-20,programming,../Assets/Programming/xylophone-flutter.png,../Assets/Programming/xylophone-flutter.png
Magic 8 Ball App,Mobile App (Flutter),A simple Magic 8 Ball App made using Flutter. A part of the flutter course by AppBrewery.,https://github.com/tazwar70/magic-8-ball-flutter,03-06-20,programming,../Assets/Programming/8-ball-flutter-gif.gif,../Assets/Programming/8-ball-flutter-gif.gif
Mi Card App,Mobile App (Flutter),A Mi Card App made using Flutter. A part of the flutter course by AppBrewery.,https://github.com/tazwar70/mi_card_flutter,03-06-20,programming,,https://github.com/tazwar70/mi_card_flutter
Dice App,Mobile App (Flutter),A Dice App made using Flutter. A part of the flutter course by AppBrewery.,https://github.com/tazwar70/dicee-flutter,03-06-20,programming,,https://github.com/tazwar70/dicee-flutter
C and T Home Care,Web Design,"The official website for C and T Home Care  <br><a href=""http://www.candthomecare.com"">View Live</a>",https://github.com/tazwar70/candthomecare,01-05-20,programming,../Assets/Programming/Screenshot_candthomecare.jpg,https://github.com/tazwar70/candthomecare
Pokedex,Web App,"A Pokedex Web App made using the PokeAPI. <br><a href=""http://www.tajwar.ml/PokeAPI-Pokedex/"">View Live</a>",https://github.com/tazwar70/PokeAPI-Pokedex,16-04-20,programming,../Assets/Programming/Screenshot_PokeAPI_dex.jpg,https://github.com/tazwar70/PokeAPI-Pokedex
GIDA,Web Design,"The un-official website for Get It Done Assesments (GIDA), a part of C and T Home Care.  <br><a href=""http://www.tajwar.ml/gida/"">View Live</a>",https://github.com/tazwar70/gida,18-03-20,programming,../Assets/Programming/Screenshot_gida.jpg,https://github.com/tazwar70/gida
AirBnb,Web Design,"An AirBnb look alike  web app. <br><a href=""http://www.tajwar.ml/airbnb/"">View Live</a>",https://github.com/tazwar70/airbnb,04-02-20,programming,../Assets/Programming/Screenshot_airbnb.jpg,https://github.com/tazwar70/airbnb
Facebook Clone,Web Design,"A Facebook lookalike design.<br> <a href=""https://www.tajwar.ml/WDD/"">View Live</a>",https://github.com/tazwar70/WDD,02-02-20,programming,../Assets/Programming/Screenshot_facebook_clone.jpg,https://github.com/tazwar70/WDD
Earthquake App,Mobile App (Android),"A simple Earthquake android app to display earthquake information using USGS API.<br> <a href=""https://github.com/tazwar70/Earthquake-App/releases/download/v1.0/Earthquake-App.apk"">Download App</a>",https://github.com/tazwar70/Amazon-website,23-09-19,programming,,https://github.com/tazwar70/Amazon-website
Amazon Clone,Web Design,"An Amazon look alike website.<br><a href=""http://www.tajwar.ml/Amazon-website/"">View Live</a>",https://github.com/tazwar70/Earthquake-App,16-09-19,programming,../Assets/Programming/Screenshot_Amazon.jpg,https://github.com/tazwar70/Earthquake-App
Flygon,Graphics Design,Fan-art of Flygon,,09-06-19,graphics,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd8x2as-e04c19a9-1421-4681-b050-a151fcd497d6.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDh4MmFzLWUwNGMxOWE5LTE0MjEtNDY4MS1iMDUwLWExNTFmY2Q0OTdkNi5wbmcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.M_0pzsWe1R0MgCXbW8vp7SZFxI5C2pyGao4KjppQtGk,https://www.deviantart.com/tajwarscribbles/art/Flygon-801039844
Corviknight,Graphics Design,Fan-art of Corviknight,,09-06-19,graphics,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd8x2v8-4981829f-b7a4-4378-bc3f-5a91e17856d2.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDh4MnY4LTQ5ODE4MjlmLWI3YTQtNDM3OC1iYzNmLTVhOTFlMTc4NTZkMi5wbmcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.Ozeai21JM_pX-o-ouDPcGFLF_qAN0tUUsDybZ5zWTlI,https://www.deviantart.com/tajwarscribbles/art/Corviknight-801040580
Darkrai,Graphics Design,Fan-art of Darkrai,,08-06-19,graphics,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd8ujak-da7accb4-0e83-45a6-aa8f-77b8e5a42aff.png/v1/fill/w_1920,h_2400,q_80,strp/darkrai_by_tajwarscribbles_dd8ujak-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDh1amFrLWRhN2FjY2I0LTBlODMtNDVhNi1hYThmLTc3YjhlNWE0MmFmZi5wbmciLCJoZWlnaHQiOiI8PTI0MDAiLCJ3aWR0aCI6Ijw9MTkyMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS53YXRlcm1hcmsiXSwid21rIjp7InBhdGgiOiJcL3dtXC8xM2UxM2U3ZS0xNTczLTQ4NTQtYmE2NC03MGNjNmY4OGEwN2NcL3RhandhcnNjcmliYmxlcy00LnBuZyIsIm9wYWNpdHkiOjk1LCJwcm9wb3J0aW9ucyI6MC40NSwiZ3Jhdml0eSI6ImNlbnRlciJ9fQ.wvOT9eiIbHYEFBTxM3pPnH9wE2hGYxhmIH1oaWKcthY",https://www.deviantart.com/tajwarscribbles/art/Darkrai-800921900
